SightingDate	fullLocation	StateText	2013	City	lat	lon	bins	Shape
1/1/14 00:00	Milpitas, California	California	69783	Milpitas	37.43143895	-121.885265953734	6	Light
1/1/14 00:00	Moreno Valley, California	California	201175	Moreno Valley	33.921961	-117.200107316579	20	Light
1/1/14 00:00	Austin, Texas	Texas	885400	Austin	30.2711286	-97.7436995	88	Circle
1/1/14 00:00	Sequim, Washington	Washington	6669	Sequim	48.0850591	-123.1078665	0	Other
1/1/14 00:00	Las Vegas, Nevada	Nevada	603488	Las Vegas	36.145204	-115.1611806	60	Circle
1/1/14 00:00	Trussville, Alabama	Alabama	20368	Trussville	33.6196266	-86.6084342	2	Light
1/1/14 00:01	Clarksville, Tennessee	Tennessee	142357	Clarksville	36.5285918	-87.3098696	14	Sphere
1/1/14 00:01	Henderson, Nevada	Nevada	270811	Henderson	36.0391456	-114.9819235	27	Sphere
1/1/14 00:01	Salem, Oregon	Oregon	160614	Salem	44.9391565	-123.033121	16	Light
1/1/14 00:01	Waxhaw, North Carolina	North Carolina	11295	Waxhaw	34.9245935	-80.7434019	1	Disk
1/1/14 00:02	El Paso, Texas	Texas	674433	El Paso	31.8111305	-106.501349395577	67	Formation
1/1/14 00:02	Goose Creek, South Carolina	South Carolina	39823	Goose Creek	32.9961038	-80.0387292	3	Light
1/1/14 00:05	Spokane Valley, Washington	Washington	91113	Spokane Valley	47.6732281	-117.2393748	9	Formation
1/1/14 00:05	Albuquerque, New Mexico	New Mexico	556495	Albuquerque	35.0841034	-106.6509851	55	Egg
1/1/14 00:05	Austin, Texas	Texas	885400	Austin	30.2711286	-97.7436995	88	Light
1/1/14 00:05	Colorado Springs, Colorado	Colorado	439886	Colorado Springs	38.8338816	-104.8213634	43	Formation
1/1/14 00:05	Elon, North Carolina	North Carolina	9513	Elon	36.1029132	-79.5066895	0	Circle
1/1/14 00:05	Rohnert Park, California	California	41398	Rohnert Park	38.343412	-122.701966581803	4	Sphere
1/1/14 00:06	Jacksonville, Florida	Florida	842583	Jacksonville	30.3321838	-81.655651	84	Circle
1/1/14 00:07	Deltona, Florida	Florida	86290	Deltona	28.9005446	-81.2636738	8	Sphere
1/1/14 00:10	Modesto, California	California	204933	Modesto	37.653176	-120.985143508507	20	Circle
1/1/14 00:10	Wilmington, North Carolina	North Carolina	112067	Wilmington	34.2257282	-77.9447107	11	Triangle
1/1/14 00:10	Charlottesville, Virginia	Virginia	44349	Charlottesville	38.029306	-78.4766781	4	Light
1/1/14 00:10	Livermore, California	California	85156	Livermore	37.6818745	-121.7680088	8	Light
1/1/14 00:10	Deltona, Florida	Florida	86290	Deltona	28.9005446	-81.2636738	8	Circle
1/1/14 00:10	Fairborn, Ohio	Ohio	33213	Fairborn	39.8066035	-84.0100579369748	3	Light
1/1/14 00:12	Patterson, California	California	20868	Patterson	51.0622592	-114.1776768	2	Sphere
1/1/14 00:15	Boise, Idaho	Idaho	214237	Boise	43.615046	-116.2044429	21	Light
1/1/14 00:15	Corona, California	California	159503	Corona	40.7469593	-73.8601456	15	Circle
1/1/14 00:15	Salem, Oregon	Oregon	160614	Salem	44.9391565	-123.033121	16	Circle
1/1/14 00:15	Oakland Park, Florida	Florida	43286	Oakland Park	26.158354	-80.170734	4	Flash
1/1/14 00:15	Burbank, California	California	104709	Burbank	34.181547	-118.3084489	10	Sphere
1/1/14 00:15	Greenfield, Indiana	Indiana	21249	Greenfield	39.785043	-85.7694226	2	Light
1/1/14 00:15	Spanish Fork, Utah	Utah	36956	Spanish Fork	40.114955	-111.654923	3	Unknown
1/1/14 00:18	Lewes, Delaware	Delaware	2896	Lewes	38.7745565	-75.1393498	0	Light
1/1/14 00:20	Roanoke, Virginia	Virginia	98465	Roanoke	37.270973	-79.9414313	9	Fireball
1/1/14 00:20	Hokes Bluff, Alabama	Alabama	4336	Hokes Bluff	33.9981546	-85.8663574	0	Circle
1/1/14 00:20	Santa Clara, California	California	120245	Santa Clara	37.2333253	-121.6846349	12	Sphere
1/1/14 00:24	Goodyear, Arizona	Arizona	72864	Goodyear	33.435533	-112.3579609	7	Sphere
1/1/14 00:30	Ocala, Florida	Florida	57468	Ocala	29.1871986	-82.1400923	5	Light
1/1/14 00:30	Temecula, California	California	106780	Temecula	33.4946353	-117.1473661	10	Light
