SightingDate	fullLocation	StateText	2013
1/18/14 20:30	Huntington, West Virginia	West Virginia	49177
1/18/14 23:00	Pawtucket, Rhode Island	Rhode Island	71172
1/19/14 18:00	Sandy, Utah	Utah	90231
1/19/14 20:50	Walnut, California	California	30065
1/2/13 01:30	Langley, Washington	Washington	1045
1/20/14 17:30	Lake Havasu, Arizona	Arizona	52844
1/20/14 18:00	Marshall, Oklahoma	Oklahoma	290
1/22/13 01:00	Clearwater, Florida	Florida	109703
1/22/13 20:52	Myrtle Beach, South Carolina	South Carolina	29175
1/22/14 19:37	New Braunfels, Texas	Texas	63279
1/23/13 07:15	Kennewick, Washington	Washington	76762
1/24/13 19:30	Martinsville, Indiana	Indiana	11855
1/24/14 06:50	Maumee, Ohio	Ohio	14104
1/25/13 06:05	Schoharie, New York	New York	869
1/25/13 20:35	Portland, Maine	Maine	66318
1/25/14 20:00	Kennesaw, Georgia	Georgia	32001
1/25/14 20:45	Palm Beach Gardens, Florida	Florida	50699
1/25/14 21:30	Fort Myers, Florida	Florida	68190
1/26/14 18:35	Herndon, Virginia	Virginia	24446
1/28/14 19:17	Bowling Green, Kentucky	Kentucky	61488
1/29/14 21:00	Fort Wayne, Indiana	Indiana	256496
1/3/13 20:00	Rockford, Illinois	Illinois	150251
1/3/14 18:56	Huntington Beach, California	California	197575
1/30/13 20:50	Palm Coast, Florida	Florida	78740
1/1/13 00:07	Bristol, Pennsylvania	Pennsylvania	9633
1/1/13 00:10	Northampton, Pennsylvania	Pennsylvania	9914
1/1/13 01:00	Chicago, Illinois	Illinois	2718782
1/1/13 21:00	Anaheim, California	California	345012
1/1/14 00:00	Bakersfield, California	California	363630
1/1/14 00:00	Brentwood, Tennessee	Tennessee	40021
1/1/14 00:00	Colorado Springs, Colorado	Colorado	439886
1/1/14 00:00	Sacramento, California	California	479686
1/1/14 00:00	Taos, New Mexico	New Mexico	5731
1/1/14 00:05	Albuquerque, New Mexico	New Mexico	556495
1/1/14 00:05	Elon, North Carolina	North Carolina	9513
1/1/14 00:30	Ocala, Florida	Florida	57468
1/1/14 00:47	Fort Worth, Texas	Texas	792727
1/1/14 01:00	American Fork, Utah	Utah	27813
1/1/14 20:30	Hickory, North Carolina	North Carolina	40361
1/10/14 06:00	Placentia, California	California	52206
1/10/14 06:30	Coal Creek, Colorado	Colorado	338
1/11/13 21:50	Miami, Florida	Florida	417650
1/12/14 11:00	Chambersburg, Pennsylvania	Pennsylvania	20508
1/12/14 15:30	Melbourne, Florida	Florida	668
1/12/14 17:00	Great Falls, Montana	Montana	59351
1/14/13 18:00	Scottsdale, Arizona	Arizona	226918
1/14/13 18:00	Waukegan, Illinois	Illinois	88826
1/15/13 23:00	Lakeland, Florida	Florida	100710
1/15/14 20:00	Conyers, Georgia	Georgia	15618
1/15/14 20:30	Covington, Georgia	Georgia	13452
1/16/13 09:50	St. Augustine, Florida	Florida	13679
1/17/13 20:00	Kalispell, Montana	Montana	20972
1/17/13 23:11	Dublin, Ohio	Ohio	43607
1/17/14 06:45	Maricopa, Arizona	Arizona	45508
1/18/13 21:44	Casselberry, Florida	Florida	26566
1/18/14 10:00	Miami Beach, Florida	Florida	91026
1/18/14 20:30	Saco, Maine	Maine	18877
1/19/14 02:30	Southfield, Michigan	Michigan	73006
1/19/14 18:36	Wellington, Florida	Florida	60202
1/19/14 19:45	Las Cruces, New Mexico	New Mexico	101324
1/2/14 19:00	Venice, Florida	Florida	21253
1/2/14 23:45	Rossville, Illinois	Illinois	1307
1/20/13 18:50	Lawrence, Kansas	Kansas	90811
1/20/13 23:50	Falls Church, Virginia	Virginia	13508
1/20/14 17:10	Appleton, Wisconsin	Wisconsin	73596
1/21/13 00:00	Hartford, Connecticut	Connecticut	125017
1/22/13 05:25	Arlington, Texas	Texas	379577
1/22/13 15:43	Denver, Colorado	Colorado	649495
1/22/14 19:00	Maricopa, Arizona	Arizona	45508
1/23/14 21:45	Vero Beach, Florida	Florida	15749
1/24/13 07:48	Rocky Mount, North Carolina	North Carolina	56954
1/24/14 18:55	Lewisville, Texas	Texas	101074
1/24/14 19:23	San Marcos, Texas	Texas	54076
1/24/14 21:30	Seattle, Washington	Washington	652405
1/25/13 14:30	Orlando, Florida	Florida	255483
1/25/14 02:10	Desert Hot Springs, California	California	27902
1/26/13 03:35	Boca Raton, Florida	Florida	89407
1/27/13 18:50	Lakewood, Colorado	Colorado	147214
1/27/13 21:00	Scranton, Pennsylvania	Pennsylvania	75806
1/27/14 17:35	Longview, Washington	Washington	36530
1/28/14 01:15	Hayward, California	California	151574
1/3/13 19:40	Roseville, California	California	127035
1/3/14 08:45	Port St. Lucie, Florida	Florida	171016
1/30/14 20:30	Maryville, Tennessee	Tennessee	27992
1/30/14 23:00	Gray Court, South Carolina	South Carolina	787
1/31/13 12:00	Puyallup, Washington	Washington	38609
1/31/14 03:45	Galatia, Illinois	Illinois	935
1/31/14 18:40	Salem, Oregon	Oregon	160614
1/31/14 21:10	Davie, Florida	Florida	96830
1/31/14 22:00	Anchorage, Alaska	Alaska	300950
1/4/13 20:50	Oakdale, Pennsylvania	Pennsylvania	1472
1/4/14 01:55	Altoona, Pennsylvania	Pennsylvania	45796
1/4/14 17:00	Crossville, Tennessee	Tennessee	11246
1/24/14 19:45	Hernando, Mississippi	Mississippi	15000
1/25/14 01:30	Novi, Michigan	Michigan	57960
1/25/14 21:45	Hollister, California	California	36589
1/26/13 18:15	Hiawatha, Kansas	Kansas	3178
1/26/13 19:15	Tampa, Florida	Florida	352957
1/26/14 17:15	Kelso, Washington	Washington	11810
1/26/14 20:34	North Arlington, New Jersey	New Jersey	15632
1/27/13 23:40	Long Beach, California	California	469428
1/27/14 21:05	Tucson, Arizona	Arizona	526116
1/28/14 11:23	Jeffersonville, Kentucky	Kentucky	1679
1/28/14 21:37	Elk Grove, California	California	161007
1/29/13 21:00	St. Augustine, Florida	Florida	13679
1/3/13 05:50	Coalinga, California	California	16755
1/3/13 20:00	Clayton, North Carolina	North Carolina	17694
1/3/13 20:00	Mason, Tennessee	Tennessee	1608
1/3/13 20:00	Yankton, South Dakota	South Dakota	14591
1/3/14 13:00	Morgan Hill, California	California	40836
1/30/14 02:00	Malden, Massachusetts	Massachusetts	60509
1/30/14 22:20	Front Royal, Virginia	Virginia	14899
1/31/13 21:00	Mount Vernon, Arkansas	Arkansas	148
1/31/13 22:00	Monterey, California	California	28294
1/31/14 22:30	Denham Springs, Louisiana	Louisiana	10148
1/4/13 19:00	Sioux Falls, South Dakota	South Dakota	164676
1/4/13 23:15	Rochester, Minnesota	Minnesota	110742
1/4/14 05:43	Kill Devil Hills, North Carolina	North Carolina	6920
1/4/14 18:30	Marshall, Texas	Texas	24501
1/4/14 23:00	Scottsdale, Arizona	Arizona	226918
1/5/14 04:57	Pleasanton, California	California	74110
1/5/14 12:00	Spokane, Washington	Washington	210721
1/5/14 18:45	East Providence, Rhode Island	Rhode Island	47149
1/6/13 11:00	Ogden, Utah	Utah	84249
1/6/13 18:35	Cedar Rapids, Iowa	Iowa	128429
1/6/13 20:30	Moundville, Alabama	Alabama	2464
1/6/14 19:00	San Diego, California	California	1355896
1/6/14 22:00	Morgan Hill, California	California	40836
1/6/14 23:52	Hartford, South Dakota	South Dakota	2926
1/7/13 02:10	Springfield, Massachusetts	Massachusetts	153703
1/7/13 06:50	Baltimore, Maryland	Maryland	622104
1/7/14 20:00	Princeton, West Virginia	West Virginia	6441
1/7/14 21:40	Missoula, Montana	Montana	69122
1/8/13 17:00	Cape Girardeau, Missouri	Missouri	38816
1/8/13 18:00	Rock Hill, South Carolina	South Carolina	69103
1/8/13 22:00	Keizer, Oregon	Oregon	37064
1/8/14 23:00	Encinitas, California	California	61588
1/9/13 07:30	Waukesha, Wisconsin	Wisconsin	71016
10/1/13 06:35	Bel Air, Maryland	Maryland	10307
10/1/13 07:40	Bakersfield, California	California	363630
10/10/13 20:30	Grand Blanc, Michigan	Michigan	8095
10/11/13 19:00	Lawrence, Kansas	Kansas	90811
10/11/13 20:00	Naples, Florida	Florida	20537
10/12/13 15:00	St. Louis, Missouri	Missouri	318416
10/12/13 21:00	Franklin, Ohio	Ohio	11829
10/12/13 21:15	Miamisburg, Ohio	Ohio	20129
10/12/13 21:15	Peoria, Illinois	Illinois	116513
10/12/13 23:00	Anderson, South Carolina	South Carolina	26985
10/12/13 23:00	Russell Springs, Kentucky	Kentucky	2496
10/13/13 10:50	Santa Fe, New Mexico	New Mexico	69976
10/13/13 22:50	Fishers, Indiana	Indiana	83891
10/13/13 22:55	New York, New York	New York	8405837
10/14/13 19:00	Seaside, Oregon	Oregon	6453
10/14/13 23:00	Warren, Ohio	Ohio	40768
10/15/13 19:30	Rockford, Illinois	Illinois	150251
10/15/13 19:35	Brigantine, New Jersey	New Jersey	9406
10/16/13 08:40	Spencer, Indiana	Indiana	2317
10/16/13 19:05	Oakdale, Minnesota	Minnesota	27780
10/16/13 19:30	Queen Creek, Arizona	Arizona	29673
10/16/13 20:15	Amelia, Ohio	Ohio	4897
10/17/13 07:00	San Jose, California	California	998537
1/1/13 00:00	Richmond, Virginia	Virginia	214114
1/1/13 00:07	Billings, Montana	Montana	109059
1/1/13 01:10	Elk Grove, California	California	161007
1/1/13 01:30	Longview, Washington	Washington	36530
1/1/13 08:00	Lake Worth, Florida	Florida	36000
1/1/14 00:00	Austin, Texas	Texas	885400
1/1/14 00:00	Moreno Valley, California	California	201175
1/1/14 00:01	Salem, Oregon	Oregon	160614
1/1/14 00:10	Charlottesville, Virginia	Virginia	44349
1/1/14 00:15	Spanish Fork, Utah	Utah	36956
1/1/14 01:00	Fayetteville, North Carolina	North Carolina	204408
1/1/14 01:00	Tucson, Arizona	Arizona	526116
1/1/14 21:00	Great Falls, Montana	Montana	59351
1/1/14 22:00	Mount Ephraim, New Jersey	New Jersey	4663
1/1/14 23:00	North Myrtle Beach, South Carolina	South Carolina	14827
1/10/13 13:00	McGregor, Minnesota	Minnesota	376
1/10/13 22:00	Springfield, Ohio	Ohio	59357
1/10/14 17:30	Placentia, California	California	52206
1/10/14 20:00	Knoxville, Tennessee	Tennessee	183270
1/10/14 21:15	Lowell, Michigan	Michigan	3859
1/11/14 20:00	Falmouth, Kentucky	Kentucky	2152
1/12/13 00:30	Syracuse, Utah	Utah	25775
1/12/13 01:00	Bozeman, Montana	Montana	39860
1/12/14 17:00	Inverness, Mississippi	Mississippi	978
1/12/14 18:30	Palatka, Florida	Florida	10482
1/12/14 20:15	Cleveland, Ohio	Ohio	390113
1/12/14 20:15	Hartwell, Georgia	Georgia	4507
1/12/14 22:35	Dallas, Georgia	Georgia	12415
1/13/14 03:10	Agawam, Massachusetts	Massachusetts	28705
1/13/14 18:50	Tinley park, Illinois	Illinois	57282
1/14/13 00:00	Milwaukee, Wisconsin	Wisconsin	599164
1/14/13 21:39	Muskegon, Michigan	Michigan	37213
1/14/14 06:00	Palestine, Texas	Texas	18617
1/14/14 06:30	Yates Center, Kansas	Kansas	1380
1/15/13 07:00	Fort Dodge, Iowa	Iowa	24639
1/15/13 17:00	Mansfield, Ohio	Ohio	46454
1/15/13 18:30	Loris, South Carolina	South Carolina	2505
1/15/14 19:00	Garner, North Carolina	North Carolina	26772
1/16/14 18:15	McAllen, Texas	Texas	136639
